competition_group,match_date,home,away,socio_at,membership_at,general_at,source_url,source_name,note,verified
その他試合,2026-08-01,FC東京,ボルシア ドルトムント,2026-05-17T10:00:00+09:00,2026-05-24T10:00:00+09:00,2026-06-05T12:00:00+09:00,https://www.fctokyo.co.jp/news/details/335011/,FC東京チケットニュース,公式記事の販売日,1
Ｊ１リーグ,2026-08-15,ヴィッセル神戸,FC東京,,,2026-07-22T10:00:00+09:00,https://www.vissel-kobe.co.jp/ticket/schedule/,ヴィッセル神戸公式チケット,公式販売スケジュールの補完値,1
Ｊ１リーグ,2026-09-02,清水エスパルス,FC東京,,,2026-08-09T10:00:00+09:00,https://www.s-pulse.co.jp/tickets/schedule,清水エスパルス公式チケット,公式販売スケジュールの補完値,1
Ｊ１リーグ,2026-09-12,ガンバ大阪,FC東京,,,2026-08-08T10:00:00+09:00,https://www.gamba-osaka.net/ticket/schedule/,ガンバ大阪公式チケット,公式販売スケジュールの補完値,1
Ｊ１リーグ,2026-10-31,ファジアーノ岡山,FC東京,,,2026-10-02T12:00:00+09:00,https://www.fagiano-okayama.com/ticket/ticket_schedule/,ファジアーノ岡山公式チケット,公式販売予定画像で確認,1
Ｊ１リーグ,2026-11-21,セレッソ大阪,FC東京,,,2026-09-17T11:00:00+09:00,https://www.cerezo.jp/ticket/,セレッソ大阪公式チケット,公式販売スケジュールで確認,1
Ｊ１リーグ,2026-12-13,アビスパ福岡,FC東京,,,2026-11-15T10:00:00+09:00,https://www.avispa.co.jp/news/post-87276,アビスパ福岡公式チケット,公式販売予定画像で確認,1
